symbol,cluster,rank,config_id,pf_tr,n_tr,pf_fwd,n_fwd,pf_json
STX,0,top1,2357566,0.8866569811372962,1299,1.1266314325326525,622,1.67
STX,0,mid,768312,0.8323562375107155,1233,1.185832273191687,572,1.626
STX,0,tail,244026,0.8942794903828357,1164,1.2081325366735285,555,1.658
STX,1,top1,51362304,0.7000016309643295,446,0.8544769899015784,123,1.621
STX,1,mid,51100192,0.7562067364816301,324,0.7159045785184126,104,1.694
STX,1,tail,50903552,0.6934545842959245,333,0.7694070208957937,109,1.664
STX,2,top1,39664143,0.5507432554641543,361,1.1046891890368,230,1.334
STX,2,mid,1306064,0.7521299238765083,302,1.0676028762779537,222,1.169
STX,2,tail,48675506,0.5381165648686534,153,1.0308434642317263,128,1.341
IMX,0,top1,36039200,0.6595431269703094,238,1.3628986279207937,131,1.75
IMX,0,mid,38201887,0.6321451551861192,302,1.596156180659943,162,1.445
IMX,0,tail,41150999,0.6330395790986589,365,1.2325408428863913,190,1.371
IMX,1,top1,20478755,0.7227997641087718,337,1.7129845293787016,120,1.808
IMX,1,mid,54096817,1.0258809938962885,477,1.2873594451257453,191,1.457
IMX,1,tail,58422065,1.007786313602683,505,1.2245614210793425,201,1.413
IMX,2,top1,1748224,0.7883559267803466,273,1.2624634185068628,189,3.74
IMX,2,mid,928000,0.6985879381730027,176,1.1986548795151266,127,4.538
IMX,2,tail,7072128,0.8293316012991869,237,1.2366879427419382,176,3.06
THETA,0,top1,1135113,1.1668051285567291,191,1.616406397443092,73,4.878
THETA,0,mid,33583964,1.0814223898920408,117,0.9032479993783613,58,6.218
THETA,0,tail,1364489,1.171148178240593,247,1.2141036518903228,104,3.525
THETA,1,top1,4520395,1.0947040786961604,668,1.0432893299317487,432,2.302
THETA,1,mid,4618698,1.1462868084116267,656,0.9424416251710782,443,2.217
THETA,1,tail,326107,0.9572217798116675,635,1.1528765442681344,415,2.162
THETA,2,top1,1858368,0.8493014919907813,172,1.0097858781725426,72,2.847
THETA,2,mid,1973056,0.8335311059667422,162,0.9537669765193024,70,2.767
THETA,2,tail,1579808,0.6288498785179232,154,1.3687125205882262,56,3.164
